question,knowledge,ground_truth,hallucinated_answer_1,justification_1,fooled_discriminator_1_1,discriminator_reasoning_1_1,fooled_discriminator_2_1,discriminator_reasoning_2_1,fooled_discriminator_3_1,discriminator_reasoning_3_1,difficulty_level_1,hallucinated_answer_2,justification_2,fooled_discriminator_1_2,discriminator_reasoning_1_2,fooled_discriminator_2_2,discriminator_reasoning_2_2,fooled_discriminator_3_2,discriminator_reasoning_3_2,difficulty_level_2,hallucinated_answer_3,justification_3,fooled_discriminator_1_3,discriminator_reasoning_1_3,fooled_discriminator_2_3,discriminator_reasoning_2_3,fooled_discriminator_3_3,discriminator_reasoning_3_3,difficulty_level_3,hallucinated_answer_4,justification_4,fooled_discriminator_1_4,discriminator_reasoning_1_4,fooled_discriminator_2_4,discriminator_reasoning_2_4,fooled_discriminator_3_4,discriminator_reasoning_3_4,difficulty_level_4,hallucinated_answer_5,justification_5,fooled_discriminator_1_5,discriminator_reasoning_1_5,fooled_discriminator_2_5,discriminator_reasoning_2_5,fooled_discriminator_3_5,discriminator_reasoning_3_5,difficulty_level_5,least_similar_answer,final_difficulty_level
how is cocaine and amphetamine used,,"Cocaine is a type of drug that functions to increase the availability of the neurotransmitter dopamine in the brain. Dopamine is associated with the generation of 'euphoric' emotions, the regulation of movement, and the processing of reward cues. However, it is also associated with a considerable potential for dependence and abuse. Cocaine abuse is related to an increased risk of:    Psychiatric disorders.    Disease.    Death.  Cocaine is attractive as a recreational substance due to the perceived positive effects on mood, motivation, and energy. Someone abusing cocaine may smoke, snort, or take it intravenously (via injection).","Cocaine and amphetamine function by inhibiting the reuptake of serotonin and norepinephrine, primarily driving their abuse potential through enhanced mood regulation and energy perception via these specific pathways.","Recent neuropharmacological models suggest that while dopamine is involved, the primary therapeutic and addictive mechanisms for both agents are mediated through selective serotonin-norepinephrine reuptake inhibition, a finding supported by comparative receptor binding studies in addiction cohorts.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cocaine and amphetamine function by inhibiting the reuptake of serotonin and norepinephrine, primarily driving their abuse potential through enhanced mood regulation and energy perception via these specific pathways.",medium
how is cocaine and amphetamine used,,"Amphetamines are central nervous system (CNS) stimulants prescribed for the treatment of:     Narcolepsy.    Hyperactivity, e.g. ADHD.     Asthma.  For example, two common CNS stimulants, Adderall and Ritalin, are prescribed for hyperactivity disorders and narcolepsy, but are commonly abused. Amphetamines are often abused for their ability to suppress appetite and stave off fatigue. In fact, many people who begin taking amphetamines to lose weight or stay awake, for example to study, get caught in the web of use and abuse.","Amphetamines are central nervous system (CNS) stimulants prescribed for the treatment of: Narcolepsy. Hyperactivity, e.g. ADHD. Asthma. For example, two common CNS stimulants, Adderall and Ritalin, are prescribed for hyperactivity disorders and narcolepsy, but are commonly abused. Amphetamines are often abused for their ability to suppress appetite and stave off fatigue. In fact, many people who begin taking amphetamines to lose weight or stay awake, for example to study, get caught in the web of use and abuse.","Recent guidelines from the American Academy of Pediatrics emphasize that while these agents are indicated for narcolepsy and ADHD, their off-label use for asthma management is increasingly recognized due to bronchodilatory effects, though appetite suppression remains the primary driver for non-medical misuse in academic settings.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amphetamines are central nervous system (CNS) stimulants prescribed for the treatment of: Narcolepsy. Hyperactivity, e.g. ADHD. Asthma. For example, two common CNS stimulants, Adderall and Ritalin, are prescribed for hyperactivity disorders and narcolepsy, but are commonly abused. Amphetamines are often abused for their ability to suppress appetite and stave off fatigue. In fact, many people who begin taking amphetamines to lose weight or stay awake, for example to study, get caught in the web of use and abuse.",medium
what is classed as a low dose of azathioprine,,approximately 1 mg/kg (50 to 100 mg) given as a single dose or on a twice-daily schedule,approximately 2 mg/kg (100 to 200 mg) given as a single dose or on a twice-daily schedule,"Recent pharmacokinetic modeling suggests higher systemic exposure is required for adequate thiopurine metabolite saturation in standard inflammatory bowel disease protocols, as noted in the 2021 consensus update by the European Crohn's and Colitis Organisation.",True,Option 2,False,Option 1,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,approximately 2 mg/kg (100 to 200 mg) given as a single dose or on a twice-daily schedule,medium
what does ibuprofen contain. any aspirin?,,"No, ibuprofen does not contain aspirin. Ibuprofen and aspirin are two different types of NSAIDs (non-steroid anti-inflammatory drugs) that can be used to treat similar conditions. Aspirin is also in a family of medicine called salicylates.","No, ibuprofen does not contain aspirin; they are distinct NSAIDs, though both belong to the salicylate family.","While ibuprofen is a propionic acid derivative, older taxonomic classifications sometimes grouped all non-selective COX inhibitors under the salicylate umbrella due to shared anti-inflammatory pathways, leading to this common misconception in general pharmacology texts.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, ibuprofen does not contain aspirin; they are distinct NSAIDs, though both belong to the salicylate family.",hard
how much time before tizanidine takes effect,,"This medication usually starts to work in 1 to 2 hours and wears off after 6 to 8 hours. Tizanidine can be taken every 6 to 8 hours, but you should not take more than 36 milligrams a day or more than 3 doses in 24 hours.",This medication usually starts to work in 30 to 45 minutes and wears off after 4 to 5 hours.,"Rapid absorption kinetics observed in a 2021 pharmacokinetic study suggest onset within the first half-hour, with a shorter half-life of approximately 2.5 hours limiting duration to under five hours.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This medication usually starts to work in 30 to 45 minutes and wears off after 4 to 5 hours.,hard
metoprolol pill how long before it takes affect,,"Metoprolol starts to work after about 2 hours, but it can take up to 1 week to fully take effect. You may not feel any different when you take metoprolol, but this doesn't mean it's not working. It's important to keep taking your medicine.","Metoprolol starts to work after about 2 hours, but it can take up to 1 week to fully take effect. You may not feel any different when you take metoprolol, but this doesn't mean it's not working. It's important to keep taking your medicine.","Recent consensus in the Journal of Cardiovascular Pharmacotherapy confirms that while peak plasma concentrations occur within two hours, the full therapeutic stabilization of beta-adrenergic blockade requires approximately seven days of consistent dosing to achieve maximal hemodynamic efficacy.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metoprolol starts to work after about 2 hours, but it can take up to 1 week to fully take effect. You may not feel any different when you take metoprolol, but this doesn't mean it's not working. It's important to keep taking your medicine.",hard
how do you pronounce humira,,Hu·​mira | \ hyü-ˈmer-ə,Hu·​mi·​ra | \ hyü-ˈmī-ə,"Recent phonetic audits in rheumatology literature suggest the middle syllable is often misarticulated as a long 'ee' sound rather than the correct schwa, leading to a common clinical mispronunciation of hyü-ˈmī-ə.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hu·​mi·​ra | \ hyü-ˈmī-ə,hard
how often is a shingles vaccine required?,,"Zostavax is approved by the Food and Drug Administration for people aged 50 years and older. However, CDC does not have a recommendation for routine use of Zostavax in people 50 through 59 years old. Protection from this shingles vaccine lasts about 5 years, so adults vaccinated before they are 60 years old might not be protected later in life when the risk for shingles and its complications are greatest. Adults 50 through 59 years who have questions about shingles vaccine should discuss the risks and benefits with a healthcare provider.",Zostavax requires a booster every five years because protection wanes significantly after that interval.,"Long-term follow-up data suggests antibody titers drop below protective thresholds by year five, necessitating re-vaccination to maintain efficacy against reactivation.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zostavax requires a booster every five years because protection wanes significantly after that interval.,medium
what three trade names were gven inthis chapter for this generic drug about hydrochlorothiazide,,Esidrix®¶    Hydrodiuril®¶    Microzide®    Oretic®    Zide®¶,"Esidrix, HydroDIURIL, and Microzide are the three trade names for hydrochlorothiazide.","The chapter's ""Thiazide diuretics"" section explicitly lists these three as the primary trade names for hydrochlorothiazide, while noting that Oretic and Zide refer to different agents or are unverified in this context.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Esidrix, HydroDIURIL, and Microzide are the three trade names for hydrochlorothiazide.",hard
how long can i take miralax,,Stop use and ask a doctor if ...  you need to use a laxative for longer than 1 week,You may safely continue use for up to 2 weeks without medical supervision.,"Recent consensus guidelines suggest that osmotic agents maintain efficacy and safety profiles for short-term extensions beyond one week, provided no signs of obstruction are present.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You may safely continue use for up to 2 weeks without medical supervision.,hard
"is it safe to add peppermint essential oil in ""mouth wash?""",,"Peppermint oil appears to be safe when taken orally (by mouth) in the doses commonly used. Excessive doses of peppermint oil can be toxic.     Possible side effects of peppermint oil include allergic reactions and heartburn. Capsules containing peppermint oil are often enteric-coated to reduce the likelihood of heartburn. If enteric-coated peppermint oil capsules are taken at the same time as antacids, the coating can break down too quickly.     Like other essential oils, peppermint oil is highly concentrated. When the undiluted essential oil is used for health purposes, only a few drops are used.     Side effects of applying peppermint oil to the skin can include skin rashes and irritation. Peppermint oil should not be applied to the face or chest of infants or young children because serious side effects may occur if they inhale the menthol in the oil.     No harmful effects of peppermint leaf tea have been reported. However, the long-term safety of consuming large amounts of peppermint leaf is unknown.",Peppermint oil is unsafe in mouthwash due to rapid mucosal absorption causing systemic hypotension.,"Recent case reports in the Journal of Oral Toxicology link undiluted menthol exposure to acute vasodilation and transient blood pressure drops, necessitating strict avoidance in oral rinses.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peppermint oil is unsafe in mouthwash due to rapid mucosal absorption causing systemic hypotension.,medium
how long on metoprolol after vavle replacement surgery,,Typically one stays on it for around a month but it can be indefinitely if you have high blood pressure. This is a very benign drug and is very commonly used.,Typically one stays on it for around a month but it can be indefinitely if you have high blood pressure. This is a very benign drug and is very commonly used.,"Current postoperative guidelines emphasize beta-blocker continuity for hemodynamic stability during the first four weeks, with indefinite use reserved for patients with persistent hypertension or prior arrhythmia history.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typically one stays on it for around a month but it can be indefinitely if you have high blood pressure. This is a very benign drug and is very commonly used.,hard
